# From MPC 75007
C/1995 O1 (Hale-Bopp),e,89.4638,282.3064,130.8509,184.1430,0.0003944,0.99491644,0.0000,03/29.4895/1997,2000,g -2.0,4.0
# From NK 1615
P/1996 R2 (Lagerkvist),e,2.6012,40.0592,333.2234,3.775025,0.1343768,0.31184085,191.3449,09/07.0/2015,2000,g 11.5,4.0
# From MPC 30063
P/1997 B1 (Kobayashi),e,12.3788,329.0301,183.3256,8.561504,0.0393440,0.76118876,265.8969,09/07.0/2015,2000,g 15.0,2.0
# From CCO 16
P/1998 QP54 (LONEOS-Tucker),e,17.6491,341.5993,30.6169,4.205044,0.1143005,0.55134641,347.4276,09/07.0/2015,2000,g 15.0,2.0
# From MPC 75703
P/1998 VS24 (LINEAR),e,5.0227,159.0595,245.1274,4.531931,0.1021596,0.24182196,271.5271,09/07.0/2015,2000,g 13.0,2.0
# From NK 1780
P/1999 D1 (Hermann),e,21.3548,348.7475,174.0478,5.753573,0.0714164,0.71416423,70.8691,09/07.0/2015,2000,g 15.0,4.0
# From CCO 17
P/1999 R1 (SOHO),e,12.5624,359.6594,48.9597,2.516557,0.2468845,0.97869344,0.0000,09/04.0351/2015,2000,g 27.0,6.0
# From NK 731
P/1999 RO28 (LONEOS),e,8.2095,148.3201,219.8126,3.502993,0.1503299,0.65491486,149.2777,09/07.0/2015,2000,g 20.0,2.0
# From MPC 75704
P/1999 V1 (Catalina),e,15.5639,294.3780,186.9043,6.573711,0.0584774,0.55072814,339.0313,09/07.0/2015,2000,g 10.0,4.0
# From MPC 75704
P/1999 XN120 (Catalina),e,5.0279,285.3213,161.9471,4.185532,0.1151007,0.21223606,285.8659,09/07.0/2015,2000,g 13.5,2.0
# From NK 744
P/2000 R2 (LINEAR),e,11.7729,160.7565,176.3382,3.414791,0.1561917,0.55335326,148.1841,09/07.0/2015,2000,g 18.0,4.0
# From MPC 75704
P/2000 S1 (Skiff),e,21.0214,28.1646,309.1130,6.617880,0.0578930,0.61682111,321.9943,09/07.0/2015,2000,g 10.0,4.0
# From MPC 73461
P/2000 S4 (LINEAR-Spacewatch),e,28.4613,174.1085,172.5426,7.123504,0.0518398,0.67948141,283.1033,09/07.0/2015,2000,g 17.5,2.0
# From MPC 75704
P/2001 BB50 (LINEAR-NEAT),e,10.3671,351.1820,193.5094,5.727325,0.0719079,0.58742316,26.4789,09/07.0/2015,2000,g 13.0,4.0
# From MPC 95207
P/2001 F1 (NEAT),e,19.0658,92.7039,80.5007,6.513629,0.0592884,0.35749364,323.9900,09/07.0/2015,2000,g  8.5,4.0
# From MPC 43019
