# From MPO143010
1915 1953 EA,e,20.3980,162.9641,347.8218,2.544736,0.2427952,0.57050643,81.2615,05/23.0/2014,2000,H18.97,0.10
# From MPO233522
2135 1977 HA,e,23.0583,191.2315,290.8540,1.599657,0.4871514,0.50304767,151.1483,05/23.0/2014,2000,H17.94,0.15
# From MPO219525
2340 1976 UA,e,5.8537,211.4586,40.0263,0.844207,1.2706630,0.44978154,261.7376,05/23.0/2014,2000,H20.0,0.15
# From MPO 73856
3362 1984 QA,e,9.9171,152.4540,55.0393,0.989485,1.0013601,0.46850112,154.9472,05/23.0/2014,2000,H18.3,0.15
# From MPO272655
3753 1986 TO,e,19.8074,126.2460,43.8096,0.997713,0.9889979,0.51482876,150.6526,05/23.0/2014,2000,H15.6,0.15
# From MPO 87240
5335 1991 DA,e,62.0779,314.2124,191.1751,11.83276,0.0242145,0.86693690,207.6561,05/23.0/2014,2000,H13.3,0.15
# From MPO286821
5381 1991 JY,e,48.9694,58.5496,37.4357,0.947461,1.0687148,0.29623767,97.9489,05/23.0/2014,2000,H16.5,0.15
# From MPO 41499
5590 1990 VA,e,14.1861,216.3162,34.4687,0.985565,1.0073409,0.27947719,158.4412,05/23.0/2014,2000,H19.7,0.15
# From MPO135426
7066 1993 HA2,e,15.6516,31.2712,170.2282,24.47310,0.0081409,0.51912396,66.3758,05/23.0/2014,2000,H 9.6,0.15
# From MPO 87241
7236 1987 PA,e,16.3316,308.5431,337.9144,2.724447,0.2191727,0.55952259,354.0328,05/23.0/2014,2000,H18.4,0.15
# From MPO192291
7822 1991 CS,e,37.1216,156.8726,249.4446,1.122771,0.8284518,0.16460318,274.4519,05/23.0/2014,2000,H17.4,0.15
# From MPO186498
10370 1995 DW2,e,4.1452,178.1599,5.6680,24.99509,0.0078872,0.24687924,55.1230,05/23.0/2014,2000,H 8.6,0.15
# From MPO196501
11885 1990 SS,e,19.4173,359.8973,116.0538,1.703513,0.4432880,0.47478890,174.7621,05/23.0/2014,2000,H18.5,0.15
# From MPO 38161
14827 1986 JK,e,1.9808,57.9794,238.1237,2.842172,0.2056972,0.66559434,319.7765,05/23.0/2014,2000,H18.3,0.15
# From MPO 8365
15504 1999 RG33,e,34.9058,23.5349,273.6876,9.396079,0.0342203,0.77115390,198.2365,05/23.0/2014,2000,H12.1,0.15
# From MPO229164
15788 1993 SB,e,1.9404,354.9359,79.1781,39.52342,0.0039666,0.32355247,347.6014,05/23.0/2014,2000,H 7.9,0.15
# From MPO 87252
